Date,Open,High,Low,Close,Volume,
2023-09-22 19:59:00,174.95,174.95,174.91,174.95,666.0,
2023-09-22 19:58:00,174.95,174.98,174.95,174.96,399.0,
2023-09-22 19:57:00,174.97,174.98,174.95,174.95,1820.0,
2023-09-22 19:56:00,174.975,174.98,174.95,174.98,76.0,
2023-09-22 19:55:00,174.98,175.04,174.96,175.0,66.0,
2023-09-22 19:54:00,174.95,175.01,174.91,174.98,389.0,
2023-09-22 19:53:00,174.9,175.04,174.9,174.95,2099.0,
2023-09-22 19:52:00,174.91,174.98,174.9,174.95,2702.0,
2023-09-22 19:51:00,175.0,175.01,174.91,174.91,1012.0,
2023-09-22 19:50:00,175.08,175.1,175.04,175.04,3505.0,
2023-09-22 19:49:00,175.085,175.1,175.05,175.05,383.0,
2023-09-22 19:48:00,175.07,175.085,175.07,175.07,35.0,
2023-09-22 19:47:00,175.09,175.1,175.07,175.07,165.0,
2023-09-22 19:46:00,175.085,175.1,175.07,175.08,220.0,69.69696969696918
2023-09-22 19:45:00,175.07,175.09,175.07,175.08,1157.0,69.69696969696918
2023-09-22 19:44:00,175.085,175.09,175.07,175.07,47.0,66.66666666666092
2023-09-22 19:43:00,175.07,175.1,175.05,175.085,107.0,70.14925373134227
2023-09-22 19:42:00,175.07,175.09,175.06,175.09,184.0,67.74193548386978
2023-09-22 19:41:00,175.06,175.1,175.05,175.05,150.0,57.57575757575836
2023-09-22 19:40:00,175.08,175.09,175.065,175.065,28.0,63.07692307692362
2023-09-22 19:39:00,175.09,175.1,175.06,175.06,356.0,68.3333333333349
2023-09-22 19:38:00,175.08,175.1,175.08,175.09,63.0,71.21212121212265
2023-09-22 19:37:00,175.08,175.09,175.06,175.09,116.0,81.03448275861967
2023-09-22 19:36:00,175.1,175.1,175.09,175.1,122.0,67.64705882352843
2023-09-22 19:35:00,175.08,175.08,175.075,175.075,62.0,56.75675675675053
2023-09-22 19:34:00,175.06,175.1,175.05,175.1,229.0,57.89473684210448
2023-09-22 19:33:00,175.08,175.1,175.05,175.05,38.0,45.83333333333728
2023-09-22 19:32:00,175.07,175.09,175.05,175.08,196.0,50.0
2023-09-22 19:31:00,175.09,175.1,175.05,175.075,98.0,49.056603773580456
2023-09-22 19:30:00,175.075,175.1,175.075,175.075,63.0,50.98039215686187
2023-09-22 19:29:00,175.08,175.09,175.05,175.09,494.0,50.98039215686187
2023-09-22 19:28:00,175.07,175.08,175.05,175.05,149.0,43.10344827586326
2023-09-22 19:27:00,175.08,175.1,175.07,175.07,10.0,53.70370370370058
2023-09-22 19:26:00,175.07,175.09,175.05,175.05,59.0,47.27272727272953
2023-09-22 19:25:00,175.05,175.075,175.05,175.075,135.0,52.54237288135398
2023-09-22 19:24:00,175.07,175.1,175.05,175.1,40.0,51.724137931033134
2023-09-22 19:23:00,175.05,175.1,175.04,175.04,14.0,42.85714285714054
2023-09-22 19:22:00,175.14,175.14,175.05,175.05,4.0,42.85714285714518
2023-09-22 19:21:00,175.075,175.14,175.05,175.1,79.0,53.333333333334345
2023-09-22 19:20:00,175.045,175.08,175.01,175.08,1029.0,47.297297297299366
2023-09-22 19:19:00,175.02,175.08,175.02,175.08,1361.0,54.68750000000069
2023-09-22 19:18:00,175.085,175.16,175.01,175.085,109.0,50.847457627118
2023-09-22 19:17:00,175.12,175.16,175.0,175.08,3224.0,50.84745762712289
2023-09-22 19:16:00,175.12,175.15,175.05,175.12,22.0,56.71641791045169
2023-09-22 19:15:00,175.125,175.24,175.01,175.24,17.0,67.04545454545858
2023-09-22 19:14:00,175.12,175.24,175.11,175.125,65.0,57.28155339805815
2023-09-22 19:13:00,175.25,175.25,175.2,175.2,135.0,61.403508771930696
2023-09-22 19:12:00,175.015,175.25,175.0,175.125,12083.0,55.99999999999964
2023-09-22 19:11:00,175.03,175.03,175.01,175.01,430.0,45.45454545454546
2023-09-22 19:10:00,175.015,175.03,175.01,175.01,116.0,43.47826086956468
2023-09-22 19:09:00,175.01,175.02,175.0,175.01,1182.0,47.6190476190474
2023-09-22 19:08:00,175.015,175.03,175.0,175.01,17.0,46.77419354838518
2023-09-22 19:07:00,175.0,175.03,175.0,175.015,68.0,42.608695652172706
2023-09-22 19:06:00,174.94,175.02,174.92,175.002,4425.0,43.133802816900605
2023-09-22 19:05:00,174.91,174.945,174.91,174.945,5.0,39.199999999997964
2023-09-22 19:04:00,174.94,174.94,174.92,174.94,50.0,38.39999999999866
2023-09-22 19:03:00,174.93,174.94,174.93,174.94,32.0,38.70967741935321
2023-09-22 19:02:00,174.925,174.97,174.91,174.97,430.0,37.704918032786125
2023-09-22 19:01:00,174.94,174.94,174.92,174.925,13.0,20.56074766354986
2023-09-22 19:00:00,174.96,174.97,174.94,174.94,105.0,28.735632183905125
2023-09-22 18:59:00,174.96,174.97,174.91,174.93,21.0,13.51351351351083
2023-09-22 18:58:00,174.96,174.97,174.92,174.93,2025.0,16.949152542369447
2023-09-22 18:57:00,174.94,174.97,174.93,174.96,65.0,38.09523809523939
2023-09-22 18:56:00,174.95,174.95,174.95,174.95,6.0,36.363636363634015
2023-09-22 18:55:00,174.92,174.95,174.92,174.95,764.0,36.363636363634015
2023-09-22 18:54:00,174.92,174.98,174.92,174.95,35.0,36.363636363634015
2023-09-22 18:53:00,174.945,174.98,174.93,174.945,22.0,34.09090909090851
2023-09-22 18:52:00,174.95,174.98,174.91,174.93,1233.0,33.783783783781715
2023-09-22 18:51:00,174.949,174.95,174.92,174.92,234.0,42.85714285714054
2023-09-22 18:50:00,174.95,174.98,174.92,174.95,73.0,52.49999999999786
2023-09-22 18:49:00,174.91,174.98,174.91,174.917,43.0,45.06437768240375
2023-09-22 18:48:00,174.91,174.98,174.91,174.945,1090.0,44.58874458874257
2023-09-22 18:47:00,174.93,174.96,174.92,174.95,204.0,56.544502617795985
2023-09-22 18:46:00,174.91,174.95,174.91,174.95,149.0,52.840909090906706
2023-09-22 18:45:00,174.93,174.93,174.93,174.93,33.0,50.0
2023-09-22 18:44:00,174.97,174.97,174.93,174.93,14.0,50.0
2023-09-22 18:43:00,174.94,174.97,174.9,174.91,456.0,35.795454545450326
2023-09-22 18:42:00,174.92,174.94,174.92,174.92,418.0,41.47727272727043
2023-09-22 18:41:00,174.94,174.94,174.9,174.92,4.0,41.47727272727043
2023-09-22 18:40:00,174.93,174.94,174.9,174.92,148.0,41.47727272727043
2023-09-22 18:39:00,174.94,174.94,174.92,174.94,87.0,48.69109947644081
2023-09-22 18:38:00,174.96,174.96,174.93,174.94,316.0,52.840909090906706
2023-09-22 18:37:00,174.95,174.98,174.945,174.95,11.0,58.52272727272956
2023-09-22 18:36:00,174.923,174.98,174.92,174.98,148.0,58.52272727272956
2023-09-22 18:35:00,174.975,174.98,174.95,174.98,3222.0,72.02797202797217
2023-09-22 18:34:00,174.97,174.98,174.97,174.98,3112.0,65.2173913043489
2023-09-22 18:33:00,174.99,175.0,174.96,174.97,557.0,58.333333333339255
2023-09-22 18:32:00,174.98,175.0,174.96,175.0,301.0,66.66666666667298
2023-09-22 18:31:00,174.98,174.98,174.96,174.98,946.0,66.66666666666035
2023-09-22 18:30:00,174.96,175.0,174.96,174.98,22.0,66.66666666666035
2023-09-22 18:29:00,175.0,175.0,174.96,174.96,114.0,66.66666666667298
2023-09-22 18:28:00,175.0,175.0,174.98,174.98,918.0,68.75000000000443
2023-09-22 18:27:00,175.0,175.0,174.96,174.98,102.0,68.75000000000443
2023-09-22 18:26:00,174.96,175.0,174.96,174.98,161.0,68.75000000000443
2023-09-22 18:25:00,174.96,175.0,174.96,174.99,116.0,66.66666666667298
2023-09-22 18:24:00,174.999,175.0,174.96,174.98,52.0,62.49999999999778
2023-09-22 18:23:00,175.0,175.0,174.96,174.96,17.0,52.94117647059414
2023-09-22 18:22:00,174.955,174.99,174.95,174.98,1128.0,50.0
2023-09-22 18:21:00,174.96,174.96,174.95,174.955,137.0,43.24324324324739
2023-09-22 18:20:00,174.955,174.96,174.95,174.955,11.0,43.24324324324739
2023-09-22 18:19:00,174.935,174.96,174.935,174.96,450.0,47.22222222222398
